Metric,one_shot_fixed,one_shot_random,zero_shot
bart_prediction_edited_avg_score,-2.659657433727556,-2.636196880030238,-3.110597718451634
bart_prediction_cf_avg_score,-2.617819114755993,-2.7457151070114008,-2.5951256616056457
bart_prediction_initial_avg_score,-2.747569950553012,-2.680931160666726,-3.16226211599082
bart_prediction_original_avg_score,-2.305725343414575,-2.2679554970796443,-2.995185842494334
bart_edited_ending_cf_avg_score,-3.2436845044459197,-3.2436845044459197,-3.2436845044459197
bart_edited_ending_initial_avg_score,-3.351278775388544,-3.351278775388544,-3.351278775388544
bart_edited_ending_original_avg_score,-1.4745400430742377,-1.4745400430742377,-1.4745400430742377
bert_prediction_edited_f1,0.6502529978752136,0.6490102410316467,0.5849169492721558
bert_prediction_edited_precision,0.6178699135780334,0.6177157759666443,0.5573623180389404
bert_prediction_edited_recall,0.6879289150238037,0.6853524446487427,0.616291344165802
bert_prediction_cf_f1,0.6098970174789429,0.6045805811882019,0.6049498915672302
bert_prediction_cf_precision,0.5285322666168213,0.5267040729522705,0.5218813419342041
bert_prediction_cf_recall,0.7247316241264343,0.7130317687988281,0.7224935293197632
bert_prediction_initial_f1,0.6020634770393372,0.6035678386688232,0.5760445594787598
bert_prediction_initial_precision,0.5211698412895203,0.5231026411056519,0.5014622211456299
bert_prediction_initial_recall,0.7175381779670715,0.7186371088027954,0.6793152093887329
bert_prediction_original_f1,0.6712471842765808,0.6696063876152039,0.5897269248962402
bert_prediction_original_precision,0.6320621967315674,0.6315282583236694,0.5585906505584717
bert_prediction_original_recall,0.7175423502922058,0.7146985530853271,0.6254716515541077
bert_edited_ending_cf_f1,0.5979950428009033,0.5979950428009033,0.5979950428009033
bert_edited_ending_cf_precision,0.5495187044143677,0.5495187044143677,0.5495187044143677
bert_edited_ending_cf_recall,0.6584897637367249,0.6584897637367249,0.6584897637367249
bert_edited_ending_initial_f1,0.5935469269752502,0.5935469269752502,0.5935469269752502
bert_edited_ending_initial_precision,0.5445164442062378,0.5445164442062378,0.5445164442062378
bert_edited_ending_initial_recall,0.6546260714530945,0.6546261310577393,0.6546260714530945
bert_edited_ending_original_f1,0.8478881120681763,0.8478881120681763,0.8478881120681763
bert_edited_ending_original_precision,0.8415035605430603,0.8415035605430603,0.8415035605430603
bert_edited_ending_original_recall,0.8551868796348572,0.8551869988441467,0.8551869988441467
bleu_prediction_edited,65.85965493351847,15.776072525046253,5.831376465417903
bleu_prediction_cf,4.81013917151405,7.554619179398029,7.087216812144859
bleu_prediction_initial,4.81013917151405,5.087784289229502,4.754521279191376
bleu_prediction_original,52.02105629031968,8.644370615638987,8.308589872019086
bleu_edited_ending_cf,7.940033610293232,7.940033610293232,7.940033610293232
bleu_edited_ending_initial,8.68056174955806,8.68056174955806,8.68056174955806
bleu_edited_ending_original,66.79499578149115,66.79499578149115,66.79499578149115
rouge_prediction_edited_rouge-1_f,0.3688948141931226,0.3741565137570295,0.2233081465881077
rouge_prediction_edited_rouge-1_p,0.3129386909714607,0.3199615269528733,0.186590500962418
rouge_prediction_edited_rouge-1_r,0.4593997734921098,0.460797924580671,0.2852023382997977
rouge_prediction_edited_rouge-2_f,0.187474634538517,0.1923449566001172,0.0486180874558619
rouge_prediction_edited_rouge-2_p,0.1572572301471415,0.162483004660696,0.040360231590922
rouge_prediction_edited_rouge-2_r,0.237784053650024,0.2418346697422858,0.0630418164762092
rouge_prediction_edited_rouge-l_f,0.3561205321449772,0.3613924795252216,0.2056439359426325
rouge_prediction_edited_rouge-l_p,0.3021230995363694,0.3088802570397639,0.17165006656111
rouge_prediction_edited_rouge-l_r,0.4434353264157893,0.4454168952091884,0.2630824470445657
rouge_prediction_cf_rouge-1_f,0.2279392041614464,0.213466764927707,0.1912381411390905
rouge_prediction_cf_rouge-1_p,0.1467951147992006,0.138273226621192,0.1223662217475442
rouge_prediction_cf_rouge-1_r,0.544807832254229,0.4995082995637586,0.4647246745030309
rouge_prediction_cf_rouge-2_f,0.1039772442585994,0.0861409089585479,0.0688377823364456
rouge_prediction_cf_rouge-2_p,0.0641809657404141,0.0533918305245592,0.0421848694417473
rouge_prediction_cf_rouge-2_r,0.3000888375782833,0.2420596925895905,0.2020921367479337
rouge_prediction_cf_rouge-l_f,0.2172089905076496,0.2021559315549647,0.1768891626064219
rouge_prediction_cf_rouge-l_p,0.1398672726196068,0.1308109992908016,0.1130577454593092
rouge_prediction_cf_rouge-l_r,0.5195499192233709,0.4747347245813973,0.4316652261261812
rouge_prediction_initial_rouge-1_f,0.2188065821710023,0.2284545841079509,0.1459590003295367
rouge_prediction_initial_rouge-1_p,0.1402780994259339,0.1469990209003425,0.0929249410981257
rouge_prediction_initial_rouge-1_r,0.528569580098506,0.5429757340914367,0.3585366286605961
rouge_prediction_initial_rouge-2_f,0.1121964648528178,0.1227885053918326,0.0359536281590717
rouge_prediction_initial_rouge-2_p,0.0690463962899851,0.0756893387438717,0.02194927129997
rouge_prediction_initial_rouge-2_r,0.3251482356027812,0.3526358398259224,0.1056059390563524
rouge_prediction_initial_rouge-l_f,0.2116544822986885,0.2205228846750227,0.1344262060593883
rouge_prediction_initial_rouge-l_p,0.1355785378484899,0.1417822133240223,0.0854443396405479
rouge_prediction_initial_rouge-l_r,0.5129855819112016,0.5256421585760431,0.3324784123131234
rouge_prediction_original_rouge-1_f,0.4080874127913079,0.4122615627176874,0.2225620660577404
rouge_prediction_original_rouge-1_p,0.3412702990295408,0.346058892578434,0.1828979770550032
rouge_prediction_original_rouge-1_r,0.5173484702582675,0.5198118643725432,0.2907562232833422
